metodo,front,back,left,right,FRONT+BACK,LEFT+RIGHT,GLOBAL
E1 mediana escalas,28.7382,38.1628,19.2826,19.2546,33.4505,19.2686,26.3595
E1 escala mejor calidad,15.1687,13.1125,17.9583,18.0323,14.1406,17.9953,16.0679
E1 escala cercana a pies,29.5637,14.4426,23.0008,16.3171,22.0031,19.6589,20.831
E1 escala suelo,14.9038,8.0077,18.8507,19.9417,11.4558,19.3962,15.426
E1 suelo corregida LOO*,4.3498,3.193,10.7266,10.5006,3.7714,10.6136,7.1925
HZ vía cubo,5.8314,2.4768,24.691,31.2322,4.1541,27.9616,16.0579
HZ compartido,2.1396,2.4648,34.7492,35.4679,2.3022,35.1086,18.7054
HZ compartido pie single,2.1396,2.4648,35.6924,35.8693,2.3022,35.7808,19.0415
HZ compartido pie mask,2.8606,2.5935,34.7492,35.4679,2.7271,35.1086,18.9178
HZ corregido final LOO,2.1396,2.4648,5.2762,5.706,2.3022,5.4911,3.8966
