site,column,n_rows,n_missing,missing_pct,n_invalid_range,invalid_range_pct,n_outliers,outlier_pct,column_status
Colombia,AGE,41,0,0.0,0,0.0,0,0.0,complete
Colombia,HEIGHT_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,WEIGHT_kg,41,0,0.0,0,0.0,1,2.44,complete
Colombia,IMC_kg_m2,41,0,0.0,0,0.0,1,2.44,complete
Colombia,PER_Skull_cm,41,0,0.0,0,0.0,3,7.32,complete
Colombia,PER_Neck_cm,41,0,0.0,0,0.0,4,9.76,complete
Colombia,THICK_WingedNeck_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,DIST_SupScapularAngToC7_AVG_cm,41,0,0.0,0,0.0,2,4.88,complete
Colombia,DIST_SupScapularAngToT10_AVG_cm,41,0,0.0,0,0.0,0,0.0,complete
Colombia,DIST_C7ToT10_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,LONG_Arm_AVG_cm,41,0,0.0,0,0.0,3,7.32,complete
Colombia,DIST_UpperArm_AVG_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,DIST_Forearm_AVG_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,DIST_Hand_AVG_cm,41,0,0.0,0,0.0,6,14.63,complete
Colombia,LONG_Leg_AVG_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,DIST_Thigh_AVG_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,DIST_LowerLeg_LATERAL_AVG_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,DIST_LowerLeg_MEDIAL_AVG_cm,41,0,0.0,0,0.0,1,2.44,complete
Colombia,DIST_Foot_AVG_cm,41,0,0.0,0,0.0,5,12.2,complete
Colombia,PER_Abdominal_cm,41,0,0.0,0,0.0,0,0.0,complete
Colombia,DIST_BetweenSupAntIliacCrest_cm,41,0,0.0,0,0.0,8,19.51,complete
Colombia,PER_Hip_cm,41,0,0.0,0,0.0,2,4.88,complete
Colombia,DIST_SternalEndClavicleToSternalManubrium_AVG_cm,41,0,0.0,0,0.0,0,0.0,complete
Colombia,DIST_ManubriumToXiphoidApophysis_cm,41,0,0.0,0,0.0,4,9.76,complete
Colombia,DIST_ManubriumToCentralNavel_cm,41,0,0.0,0,0.0,5,12.2,complete
Barcelona,AGE,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,HEIGHT_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,WEIGHT_kg,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,IMC_kg_m2,26,0,0.0,0,0.0,2,7.69,complete
Barcelona,PER_Skull_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,PER_Neck_cm,26,0,0.0,1,3.85,3,11.54,complete
Barcelona,THICK_WingedNeck_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_SupScapularAngToC7_AVG_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_SupScapularAngToT10_AVG_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_C7ToT10_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,LONG_Arm_AVG_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_UpperArm_AVG_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_Forearm_AVG_cm,26,0,0.0,0,0.0,1,3.85,complete
Barcelona,DIST_Hand_AVG_cm,26,0,0.0,0,0.0,1,3.85,complete
Barcelona,LONG_Leg_AVG_cm,26,0,0.0,0,0.0,1,3.85,complete
Barcelona,DIST_Thigh_AVG_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_LowerLeg_LATERAL_AVG_cm,26,0,0.0,0,0.0,1,3.85,complete
Barcelona,DIST_LowerLeg_MEDIAL_AVG_cm,26,0,0.0,0,0.0,1,3.85,complete
Barcelona,DIST_Foot_AVG_cm,26,0,0.0,1,3.85,2,7.69,complete
Barcelona,PER_Abdominal_cm,26,0,0.0,0,0.0,1,3.85,complete
Barcelona,DIST_BetweenSupAntIliacCrest_cm,26,0,0.0,0,0.0,2,7.69,complete
Barcelona,PER_Hip_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_SternalEndClavicleToSternalManubrium_AVG_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_ManubriumToXiphoidApophysis_cm,26,0,0.0,0,0.0,0,0.0,complete
Barcelona,DIST_ManubriumToCentralNavel_cm,26,0,0.0,0,0.0,0,0.0,complete
