group,method,n,bias_cm,mae_cm,rmse_cm
back,corrected_horizon,50,2.5448698200143127,2.8101646581776953,3.8317502063942404
back,per_image_cube_horizon,50,2.1593090810877937,2.9326441941265866,3.8317019264481553
back,shared_front_back_horizon,50,2.5448698200143127,2.8101646581776953,3.8317502063942404
front,corrected_horizon,50,2.2464743165172076,2.8006481982742417,3.806127069974866
front,per_image_cube_horizon,50,5.672957853639962,6.402123100582867,21.629949177009646
front,shared_front_back_horizon,50,2.2464743165172076,2.8006481982742417,3.806127069974866
left,corrected_horizon,50,3.0731406853533185,3.1936445539253286,3.717633334389708
left,per_image_cube_horizon,50,3.0731406853533185,3.1936445539253286,3.717633334389708
left,shared_front_back_horizon,50,-7.216250794459582,7.757319552996442,10.025982327971981
right,corrected_horizon,50,3.0312740517026024,3.1256799108080706,3.7937964850255725
right,per_image_cube_horizon,50,6.929418269389678,7.023824128495146,29.113748400461525
right,shared_front_back_horizon,50,-6.999425673529786,7.544240184172666,9.92595000251606
GLOBAL,corrected_horizon,200,2.7239397183968608,2.982534330296334,3.787565256723496
GLOBAL,per_image_cube_horizon,200,4.4587064723676875,4.888058994282481,18.330083091652288
GLOBAL,shared_front_back_horizon,200,-2.3560830828644614,5.228093148405261,7.553372061706163
FRONT+BACK,corrected_horizon,100,2.39567206826576,2.8054064282259685,3.818960127901164
LEFT+RIGHT,corrected_horizon,100,3.05220736852796,3.1596622323666996,3.755907971367105
