fold,method,n_train_subjects,n_test_subjects,ridge_alpha,n,bias_cm,mae_cm,rmse_cm,r2
1,baseline_mean,40,10,,10,3.730499999999992,13.806199999999993,16.67583671813801,-0.052681203625434936
1,initial_height_subject_mean_raw,40,10,,10,-13.286019242090152,21.478870322659965,22.545068114801627,-0.9240869931132363
1,calibrated_initial_subject_mean,40,10,,10,0.44257275873172264,10.284706886729765,12.959149805592924,0.3642671974278415
1,ridge_subject_fusion,40,10,1.0,10,1.614149002531002,7.555787963916498,9.136403905423416,0.6840108419221476
2,baseline_mean,40,10,,10,-5.346999999999994,6.361999999999997,9.93306926382777,-0.40799461939997816
2,initial_height_subject_mean_raw,40,10,,10,-10.104817287318303,16.44086590792686,16.93460337145774,-3.0924570130316065
2,calibrated_initial_subject_mean,40,10,,10,-3.3082365029301655,8.468766248073681,9.686424716365966,-0.3389398962430652
2,ridge_subject_fusion,40,10,1.0,10,-4.314231318262384,6.886590899264823,7.814672783331759,0.12852353453759713
3,baseline_mean,40,10,,10,0.030500000000012052,10.030000000000001,12.040308561245428,-6.416928965746749e-06
3,initial_height_subject_mean_raw,40,10,,10,-4.8040304464190555,21.9007537119088,23.374256657084327,-2.76880068284851
3,calibrated_initial_subject_mean,40,10,,10,3.078692323676458,11.917265996775248,15.221868530511797,-0.5983190892353931
3,ridge_subject_fusion,40,10,1.0,10,4.599649433627644,12.126002366159753,15.64524547857776,-0.6884659872410406
4,baseline_mean,40,10,,10,-2.244500000000001,10.6009,12.763411779379371,-0.031911567592700196
4,initial_height_subject_mean_raw,40,10,,10,-10.363236945763227,20.138612955511537,21.366363440060084,-1.8918125753576969
4,calibrated_initial_subject_mean,40,10,,10,-1.6327383736088321,11.124809392652384,12.50602198524292,0.009288293522079383
4,ridge_subject_fusion,40,10,0.01,10,-0.41835394858177893,6.760428016838693,10.246737020231452,0.33491048749432795
5,baseline_mean,40,10,,10,3.8305000000000033,17.9379,23.600229453333714,-0.027056576908530694
5,initial_height_subject_mean_raw,40,10,,10,-9.814076260904134,16.444686629452416,16.92180331433646,0.4719741274972411
5,calibrated_initial_subject_mean,40,10,,10,2.808979024386025,13.080452988265119,18.586026382277158,0.36300647801881936
5,ridge_subject_fusion,40,10,1.0,10,0.47120616726162295,9.521740905960204,12.004786288549237,0.7342515235923937
