fold,method,n_train_subjects,n_test_subjects,ridge_alpha,n,bias_cm,mae_cm,rmse_cm,r2
1,baseline_mean,32,9,,9,8.421875,16.140625,21.170870466124033,-0.18799935403935364
1,initial_height_subject_mean_raw,32,9,,9,-1.4289880439794114,16.325379167372624,19.106483144084294,0.032390138943721
1,calibrated_initial_subject_mean,32,9,,9,8.757290507273524,11.763757021731912,14.361605418646127,0.4533054360748132
1,ridge_subject_fusion,32,9,10.0,9,7.8216754387515675,8.846559991384023,12.856999977660491,0.5618547972816796
2,baseline_mean,33,8,,8,1.0227272727272805,13.61363636363636,18.634201648430775,-0.0030214004676083484
2,initial_height_subject_mean_raw,33,8,,8,2.5183323777307542,16.39360262438611,19.47638250806791,-0.09573417757883718
2,calibrated_initial_subject_mean,33,8,,8,7.892513323906634,11.417444650431747,13.715387028986237,0.45661862038668666
2,ridge_subject_fusion,33,8,0.01,8,-4.714348296242051,14.031444143823816,17.4005501011847,0.12538972717432373
3,baseline_mean,33,8,,8,-9.429166666666681,10.112500000000011,12.459094179665637,-1.3406120853199082
3,initial_height_subject_mean_raw,33,8,,8,-17.692596488648924,17.692596488648924,18.00155445469055,-3.886259443052272
3,calibrated_initial_subject_mean,33,8,,8,-10.379911118834453,10.379911118834453,11.229881687102802,-0.9015461372573983
3,ridge_subject_fusion,33,8,1.0,8,-4.268284852613107,6.172544063768491,6.679091713890867,0.32734663412765364
4,baseline_mean,33,8,,8,0.059848484848465944,10.06742424242423,12.512312210024918,-2.2879214577553597e-05
4,initial_height_subject_mean_raw,33,8,,8,-10.112564791897022,18.81916246386843,19.85122474762006,-1.5171517818043934
4,calibrated_initial_subject_mean,33,8,,8,-0.9879255566964815,8.265567509366775,12.591913497989879,-0.012787317766493222
4,ridge_subject_fusion,33,8,0.01,8,1.058906602764555,8.898389215122013,13.298269113241355,-0.12960089047775925
5,baseline_mean,33,8,,8,-0.8409090909090935,14.625,17.43078105247076,-0.002332793729232563
5,initial_height_subject_mean_raw,33,8,,8,-16.86674812281458,16.86674812281458,17.501953060520393,-0.010534798953102165
5,calibrated_initial_subject_mean,33,8,,8,-5.149476680398148,9.205549509125635,11.671332645512923,0.5506144141122782
5,ridge_subject_fusion,33,8,10.0,8,-3.7583087350783195,9.390457924734395,10.748118498855014,0.6188963257222949
