group,method,n,bias_cm,mae_cm,rmse_cm
back,corrected_horizon,50,1.4941527731783781,2.3449417545799696,3.216691984551079
back,per_image_cube_horizon,50,1.1115690513707648,2.6659109283059017,3.3594534148341837
back,shared_front_back_horizon,50,1.4941527731783781,2.3449417545799696,3.216691984551079
front,corrected_horizon,50,1.058396480966758,2.5020407294921974,3.4373593516956076
front,per_image_cube_horizon,50,4.437020490659458,5.815158730004977,20.95942572341339
front,shared_front_back_horizon,50,1.058396480966758,2.5020407294921974,3.4373593516956076
left,corrected_horizon,50,1.7698387328583993,2.4455397417510114,3.0951814465650553
left,per_image_cube_horizon,50,1.7698387328583993,2.4455397417510114,3.0951814465650553
left,shared_front_back_horizon,50,-8.433531784912834,8.774481863768285,10.959605965386913
right,corrected_horizon,50,1.603966455858066,2.4528159398844678,3.217912425632975
right,per_image_cube_horizon,50,5.50211067354514,6.350960157571542,29.044318111028645
right,shared_front_back_horizon,50,-8.347593418320418,8.59299874338511,10.805856993056848
GLOBAL,corrected_horizon,200,1.4815886107154004,2.4363345414269117,3.2441352932009497
GLOBAL,per_image_cube_horizon,200,3.205134737108441,4.319392389408358,18.053642406890575
GLOBAL,shared_front_back_horizon,200,-3.557143987272029,5.55361577280639,8.047391734392958
FRONT+BACK,corrected_horizon,100,1.2762746270725682,2.423491242036084,3.3288546555958556
LEFT+RIGHT,corrected_horizon,100,1.6869025943582328,2.449177840817739,3.1571433738590056
